Trends file:
Created by:		chris
Created on:\tt09/18/2021T14:31:1631989880Z
Number of trends:	20
Country:		united_states
Zulu,#0,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,
09/19/2021T09:00:1632056405Z,Alabama vs Florida,Nebraska football,Penn State,UCLA football,USC football,Miami Hurricanes,Deltarune Chapter 2,UFC Fight Night,Boise State football,Kentucky football,SpaceX,Utah football,Cincinnati football,Taylor Swift,Full moon,Mizzou Football,Liverpool,West Virginia football,Emma Mackey,Tulsa vs Ohio State,
09/19/2021T10:00:1632060006Z,Alabama vs Florida,Nebraska football,Penn State,UCLA football,USC football,Miami Hurricanes,Deltarune Chapter 2,UFC Fight Night,Boise State football,Kentucky football,SpaceX,Utah football,Cincinnati football,Taylor Swift,Karen Civil,Full moon,Mizzou Football,Liverpool,West Virginia football,Emma Mackey,
09/19/2021T11:00:1632063606Z,Alabama vs Florida,Nebraska football,Penn State,UCLA football,Miami Hurricanes,UFC Fight Night,Boise State football,Kentucky football,SpaceX,Utah football,Cincinnati football,Taylor Swift,Karen Civil,Full moon,Wake Forest football,Mizzou Football,Liverpool,West Virginia football,Emma Mackey,Tulsa vs Ohio State,
09/19/2021T12:00:1632067206Z,Alabama vs Florida,Nebraska football,Penn State,UCLA football,Miami Hurricanes,Deltarune Chapter 2,UFC Fight Night,Boise State football,Kentucky football,SpaceX,Utah football,Cincinnati football,Taylor Swift,Full moon,Mizzou Football,Liverpool,West Virginia football,Emma Mackey,Tulsa vs Ohio State,Bristol Motor Speedway,
09/19/2021T13:00:1632070806Z,Alabama vs Florida,Nebraska football,Penn State,UCLA football,Miami Hurricanes,Deltarune Chapter 2,UFC Fight Night,Boise State football,Kentucky football,SpaceX,Utah football,Cincinnati football,Karen Civil,Taylor Swift,Full moon,Mizzou Football,Liverpool,Stony Brook football,West Virginia football,Emma Mackey,
09/19/2021T14:00:1632074406Z,Penn State football,Alabama vs Florida,Nebraska football,UCLA football,Miami Hurricanes,Deltarune Chapter 2,UFC Fight Night,Boise State football,Kentucky football,SpaceX,Utah football,Cincinnati football,Full moon,Taylor Swift,Mizzou Football,Liverpool,West Virginia football,Bristol Motor Speedway,Bellator,Auburn university,
09/19/2021T15:00:1632078006Z,Penn State football,Alabama vs Florida,Nebraska football,UCLA football,USC football,Kentucky football,Miami Hurricanes,Deltarune Chapter 2,UFC Fight Night,Boise State football,SpaceX,Utah football,Karen Civil,Cincinnati football,Full moon,Taylor Swift,Liverpool,West Virginia football,Tulsa vs Ohio State,Bristol Motor Speedway,
09/19/2021T16:00:1632081606Z,Emmys 2021,Penn State football,Alabama vs Florida,Nebraska football,UCLA football,Kentucky football,Miami Hurricanes,Deltarune Chapter 2,UFC Fight Night,Boise State football,SpaceX,Karen Civil,Utah football,Full moon,Cincinnati football,Taylor Swift,Mizzou Football,Stony Brook football,Liverpool,West Virginia football,
09/19/2021T17:00:1632085206Z,Cowboys,West Ham vs Man United,Emmys 2021,IPL,Penn State football,Alabama vs Florida,Nebraska football,UCLA football,USC football,Kentucky football,Deltarune Chapter 2,UFC Fight Night,Boise State football,Karen Civil,SpaceX,Miami Hurricanes,Utah football,Full moon,Cincinnati football,Taylor Swift,
09/19/2021T18:00:1632088805Z,Dallas Cowboys,Raiders,West Ham vs Man United,Emmys 2021,IPL,Penn State football,Alabama vs Florida,Nebraska football,UCLA football,Kentucky football,Miami Hurricanes,Deltarune Chapter 2,UFC Fight Night,Boise State football,Karen Civil,SpaceX,Utah football,Full moon,Cincinnati football,Taylor Swift,
